,BEN,BHY,SNB75,SF295,EHEB,HT,MC116,SF126,CMK,RL,NB4,JM1,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,AU565,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC1806,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
CXorf65,0.0,0.09,0.0,0.0,7.01,0.96,4.11,0.06,5.27,0.0,4.61,1.96,0.0,0.0,0.0,0.11,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0
CXorf66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXorf67,1.34,0.0,0.01,0.01,0.03,0.0,0.69,0.03,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0
CYB561,146.95,126.26,19.74,96.62,4.36,0.26,0.11,34.91,3.04,0.08,1.89,0.19,27.17,146.61,164.77,284.92,108.26,154.9,77.9,91.73,59.92,149.08,61.82,65.05,109.25,153.52,192.5,35.75,123.18,136.67
CYB561A3,29.87,68.91,58.4,37.74,85.73,64.41,49.96,39.77,25.69,192.14,12.95,29.51,65.3,27.74,24.32,38.4,40.92,64.51,54.91,40.01,19.89,59.91,29.01,13.25,38.61,16.12,67.58,33.99,28.61,52.44
CYB561D1,7.8,11.72,11.75,6.83,5.85,6.17,5.91,6.04,7.1,3.54,4.98,5.5,5.88,4.95,3.48,10.64,7.3,8.06,13.8,15.93,4.9,6.1,7.22,4.42,5.79,4.87,11.08,3.03,6.4,8.43
CYB561D2,27.47,12.46,43.05,38.52,19.98,31.95,17.43,26.14,18.22,19.63,17.55,17.75,33.57,33.44,33.67,17.08,0.15,42.79,12.61,19.84,19.85,20.28,16.67,3.48,14.27,29.43,13.86,17.34,14.92,22.62
CYB5A,8.54,24.26,40.43,1.64,89.08,0.13,196.39,94.19,21.91,20.4,31.52,23.17,11.88,36.59,55.0,37.42,253.58,204.18,25.58,125.96,0.14,114.57,138.87,10.04,24.02,97.66,72.31,16.53,51.27,105.08
CYB5B,160.2,86.93,104.07,184.36,134.58,150.52,104.42,168.37,118.96,157.48,141.01,109.25,100.84,41.57,30.72,105.72,135.15,39.54,201.39,166.35,79.48,91.35,68.32,46.73,118.19,79.34,133.75,89.58,53.76,212.48
CYB5D1,6.16,13.64,9.34,11.8,4.56,27.84,15.09,5.91,3.0,6.35,6.9,9.65,16.33,16.01,13.64,21.34,19.96,7.18,11.61,8.75,4.73,11.04,18.93,13.16,4.55,26.33,11.87,10.61,14.01,10.38
CYB5D2,11.89,7.5,14.35,12.36,7.03,7.8,10.35,13.65,6.41,9.1,1.87,4.08,11.08,10.36,6.14,26.5,16.34,5.89,17.53,8.48,3.48,30.61,10.91,8.44,11.33,15.41,5.71,5.39,8.77,11.11
CYB5R1,43.46,28.27,21.32,30.05,17.37,21.04,13.92,26.36,28.69,14.11,7.76,30.36,40.15,34.97,51.53,65.35,29.29,109.4,43.53,69.97,31.01,63.93,24.56,22.26,48.21,83.24,68.01,22.81,44.13,60.37
CYB5R2,3.17,10.13,39.07,0.11,9.95,9.22,0.06,1.64,0.01,0.1,0.17,7.65,2.23,73.5,1.68,0.0,3.32,18.62,11.93,20.3,0.75,2.91,2.19,6.99,4.39,32.93,0.44,1.69,41.13,5.75
CYB5R3,112.88,87.24,313.04,152.04,68.39,76.52,51.81,241.75,98.63,77.99,51.18,82.31,297.75,61.78,43.17,42.47,35.15,57.98,86.47,97.35,38.89,56.95,116.06,44.55,149.85,123.89,150.45,107.63,311.31,80.38
CYB5R4,13.3,10.18,25.16,11.62,16.67,41.71,20.17,17.07,21.37,19.84,13.44,22.5,21.55,9.65,3.88,7.96,13.72,9.02,15.77,11.15,11.64,3.46,10.54,6.02,13.94,6.84,5.57,9.81,6.83,12.48
CYB5RL,5.17,3.26,9.1,4.77,5.89,10.86,8.53,4.24,15.71,10.3,4.69,5.66,3.46,4.35,3.7,4.69,9.53,4.75,6.68,5.92,4.46,7.33,8.3,2.96,2.94,5.43,7.92,3.06,2.37,3.46
CYBA,927.4,162.28,0.72,0.44,335.64,288.91,213.95,0.77,383.7,340.3,397.34,281.4,283.71,225.07,0.51,585.11,0.93,75.31,574.96,3.1,1.07,0.61,0.75,113.54,251.87,346.02,13.2,208.28,194.48,1.99
CYBB,0.11,0.38,0.06,0.09,30.47,0.52,7.95,0.03,2.9,0.79,25.83,18.62,0.03,0.09,0.06,0.1,0.29,0.32,0.92,0.32,0.06,0.21,0.96,0.06,0.15,0.0,0.28,0.03,0.03,0.07
CYBRD1,0.24,26.2,64.67,23.2,12.11,0.26,0.02,51.01,4.59,0.02,13.29,1.08,0.89,10.25,0.21,0.1,17.33,0.06,22.82,19.7,9.3,23.43,2.04,26.41,16.65,27.31,16.32,10.45,17.08,2.76
CYC1,162.55,118.53,135.38,114.45,140.92,206.63,164.54,137.42,106.52,157.55,125.66,132.01,346.69,264.57,217.92,297.44,298.64,291.54,574.7,183.61,522.6,143.53,210.61,138.38,73.07,648.73,53.72,198.41,538.21,120.66
CYCS,246.64,131.01,171.08,255.06,148.25,156.0,308.56,182.28,99.34,281.85,272.54,165.99,57.57,124.2,94.59,111.48,209.92,324.6,211.1,141.36,209.89,125.86,111.9,53.39,93.58,77.42,293.69,173.22,201.56,223.27
CYFIP1,16.43,51.39,45.19,18.8,21.85,0.15,0.48,53.17,31.51,0.17,22.12,5.31,33.03,43.95,51.73,30.49,28.62,78.94,42.37,54.92,17.54,59.6,44.6,67.49,82.16,42.55,32.35,54.34,40.97,81.71
CYFIP2,19.4,0.59,1.03,0.44,171.36,216.16,125.27,0.96,43.69,106.67,9.07,118.45,1.04,2.03,1.27,4.34,1.25,29.84,1.59,0.17,10.0,20.92,0.15,1.38,2.86,7.21,35.09,1.9,0.87,1.81
CYGB,0.05,9.89,1.3,0.34,0.3,0.05,0.07,0.41,0.07,0.17,0.1,0.07,1.46,0.17,0.1,0.21,0.16,0.07,0.18,0.04,2.89,0.2,1.36,0.36,0.45,0.21,0.27,0.55,0.2,0.22
CYHR1,47.72,48.69,42.5,20.35,25.33,38.09,28.49,30.63,29.8,27.39,15.94,35.03,85.11,119.45,63.09,73.32,124.63,36.05,164.85,50.55,56.3,52.2,69.02,37.29,20.65,265.94,17.42,83.28,98.58,25.09
CYLC1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0
CYLC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
CYLD,3.37,11.46,19.45,27.45,46.2,17.86,15.07,24.01,15.06,8.32,10.84,8.93,26.32,2.83,1.79,1.37,15.11,9.01,21.8,19.6,3.14,6.75,6.87,4.03,14.91,5.91,16.11,13.99,9.09,14.91
CYP11A1,0.01,0.75,0.11,0.04,0.11,0.0,0.0,0.59,0.58,0.0,0.01,0.0,0.07,0.08,0.02,0.0,0.04,0.08,5.77,0.0,0.0,0.0,0.04,0.57,1.26,0.0,0.0,0.01,0.12,0.09
CYP11B1,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
CYP11B2,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYP17A1,0.23,0.04,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.06,0.0,0.01,0.0,0.03,0.02,0.03,0.23,0.03,0.05,0.01,0.04,0.01,0.06
CYP19A1,0.67,0.41,0.73,0.52,0.29,0.07,0.08,0.38,0.08,0.02,0.08,0.32,0.7,0.04,0.01,0.48,0.03,0.63,0.11,0.08,0.0,0.0,0.09,0.0,0.03,0.0,0.36,1.83,0.0,0.38
CYP1A1,0.23,33.35,5.03,0.22,1.29,0.23,0.05,0.63,0.27,0.4,0.09,0.11,3.61,0.14,6.26,2.44,0.4,10.8,3.17,141.44,27.05,0.2,12.03,0.96,10.77,0.43,4.08,22.67,0.35,1.7
CYP1A2,0.0,0.03,0.02,0.0,0.26,0.0,0.01,0.0,0.01,0.05,0.0,0.01,0.04,0.0,0.01,0.01,0.02,0.35,0.0,0.03,0.29,0.0,0.02,0.0,0.02,0.01,0.13,0.18,0.03,0.01
CYP1B1,0.33,34.62,34.25,4.51,28.86,0.16,0.1,0.68,0.12,0.04,10.54,0.11,192.48,1.4,38.32,5.25,0.11,14.12,15.55,209.56,244.09,24.14,27.39,6.9,98.75,17.44,7.27,442.53,0.93,28.08
CYP20A1,4.45,4.56,10.22,9.39,3.4,9.77,4.41,8.24,5.77,2.18,6.28,6.64,7.0,6.81,4.36,5.86,5.06,5.59,10.25,7.36,5.87,3.94,10.58,1.66,13.1,6.17,4.03,4.59,6.97,3.49
CYP21A2,0.02,0.03,0.45,0.02,0.14,0.02,0.0,0.11,0.05,0.02,0.0,0.06,0.37,0.03,0.01,0.16,0.05,0.0,0.08,1.76,0.27,0.06,0.39,0.01,0.07,0.04,0.06,0.54,0.19,0.34
CYP24A1,0.11,38.26,0.83,2.35,0.07,0.03,0.01,3.88,0.17,0.05,0.07,0.03,0.75,0.19,0.02,3.26,0.18,0.1,0.14,0.42,0.1,0.09,13.55,5.67,17.21,0.02,3.38,0.15,0.12,0.63
CYP26A1,0.01,0.03,0.06,0.02,0.03,0.01,0.26,0.03,0.06,0.01,0.02,0.01,0.04,1.56,0.05,0.07,0.02,0.02,2.85,0.01,0.14,0.03,2.09,0.41,7.77,2.02,0.0,0.06,0.02,4.86
CYP26B1,6.15,8.43,13.28,0.95,0.01,0.01,0.02,5.41,0.45,0.01,0.14,0.0,3.02,6.62,0.06,1.25,0.43,0.01,4.31,0.79,50.04,0.51,1.75,0.65,8.25,0.05,14.44,3.79,8.29,12.51
CYP26C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.02,0.01,0.01,0.04,0.08,0.09,0.0,0.0,0.02,0.0,0.0
CYP27A1,0.05,0.61,41.01,0.41,3.17,0.15,0.06,0.09,0.07,0.06,0.11,0.05,0.58,0.2,0.38,0.06,0.24,0.06,11.03,1.41,0.15,1.13,3.8,1.86,37.39,0.12,0.4,19.61,10.8,0.15
CYP27B1,3.6,11.06,1.73,4.93,2.43,3.67,1.71,2.43,2.3,2.0,2.33,6.88,1.48,0.71,1.93,2.68,3.25,0.19,2.46,4.57,3.31,3.11,5.47,2.05,2.85,1.73,3.67,0.71,2.38,2.22
CYP27C1,0.02,1.55,1.48,3.22,0.01,0.0,0.0,1.99,0.0,0.0,0.01,0.0,7.18,0.28,0.0,0.01,0.27,0.0,3.75,13.09,0.19,0.0,6.83,1.08,3.53,0.0,0.02,1.6,0.05,0.52
CYP2A13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.02,0.0,0.67,0.0,0.01,0.36,0.0,0.0,0.13
CYP2A6,0.04,0.0,0.12,0.03,0.01,0.03,0.0,0.07,0.09,0.02,0.12,0.05,0.18,0.0,0.0,0.15,0.07,0.12,0.11,0.19,0.01,0.02,0.0,0.34,0.0,0.86,0.22,0.42,0.0,0.29
CYP2A7,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.03,0.12,0.0,0.0,0.09,0.04,1.0,0.0,0.01,0.0,0.07,0.0,0.09,0.0,0.1,0.03,0.13,0.0,0.33
CYP2B6,0.06,0.01,0.0,0.0,1.24,0.01,0.01,0.01,0.01,0.01,0.04,0.0,0.0,0.03,0.02,0.07,0.33,0.01,0.0,0.02,0.0,0.03,0.01,0.26,0.0,0.01,0.07,0.01,0.0,0.1
CYP2C18,0.07,0.22,0.0,0.01,0.01,0.01,0.0,0.0,0.03,0.0,0.0,0.04,0.0,0.05,0.0,0.02,0.02,0.0,0.05,0.09,0.03,0.0,0.17,0.04,0.0,0.01,0.0,2.85,0.0,0.0
CYP2C19,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.08,0.0,0.0,0.02,0.0,0.3,0.0,0.0
CYP2C8,0.3,0.14,0.01,0.22,0.05,0.0,0.01,0.02,0.03,0.01,0.0,1.74,0.0,0.04,0.02,0.78,0.33,0.02,0.18,0.04,0.03,0.0,0.14,0.16,0.01,0.0,0.05,0.52,0.87,0.17
CYP2C9,0.03,0.06,0.02,0.03,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.16,0.0,0.0,0.01,0.02,0.2,0.0,0.02
CYP2D6,3.86,2.67,0.66,0.78,1.0,2.21,0.65,0.26,0.68,0.86,0.74,0.34,1.28,2.01,0.64,0.43,0.99,0.37,1.09,2.64,4.77,0.95,7.81,0.55,2.44,1.04,0.98,2.36,3.65,0.83
CYP2E1,0.3,3.47,0.19,0.0,0.48,0.22,0.31,1.0,1.47,0.4,11.08,1.24,2.19,0.74,0.05,0.86,0.15,0.09,3.26,9.34,0.51,0.35,0.03,0.55,1.29,0.44,0.62,5.58,2.71,0.3
CYP2F1,0.0,0.17,0.26,0.21,0.22,0.0,0.01,0.02,0.06,0.14,0.0,0.01,0.01,0.0,0.01,0.01,0.09,0.33,0.22,0.0,0.08,0.01,0.0,0.15,0.01,0.07,0.23,0.08,0.07,4.26
CYP2J2,4.72,6.88,6.23,0.0,2.66,0.0,0.04,0.18,0.03,0.01,0.02,0.01,0.18,4.17,9.31,6.42,12.19,8.44,1.7,8.49,1.39,4.37,3.15,0.92,1.55,18.54,9.89,3.82,1.78,3.73
CYP2R1,23.48,25.03,8.38,5.89,10.09,1.69,1.02,6.47,25.56,0.0,28.0,21.43,10.92,9.44,8.41,8.77,29.87,5.15,5.81,8.14,27.95,21.98,10.31,2.05,10.19,15.23,14.43,24.25,8.99,8.4
CYP2S1,0.19,10.07,0.12,62.51,2.07,0.03,0.07,4.62,4.87,0.07,0.15,0.04,0.24,0.04,0.35,0.68,3.69,1.67,6.86,0.32,0.14,4.29,12.93,9.63,1.06,0.14,4.32,0.12,0.05,10.48
CYP2U1,2.08,2.14,5.75,4.64,3.14,1.2,0.36,3.32,1.49,3.25,0.02,2.12,1.57,1.43,0.46,0.35,0.05,1.54,0.74,0.11,1.11,1.98,1.05,0.9,1.04,2.85,1.89,1.66,1.85,1.95
CYP2W1,0.59,0.91,0.04,0.13,0.01,0.02,0.03,0.03,0.08,0.04,0.31,0.05,0.41,0.04,0.05,0.63,0.37,0.0,0.82,0.0,0.18,0.91,0.34,7.22,0.06,0.04,0.79,0.29,0.1,0.3
CYP39A1,1.73,0.51,0.45,0.0,0.02,5.08,12.62,4.13,0.08,6.03,0.01,0.18,37.36,0.27,0.01,0.0,0.01,0.09,1.49,12.39,2.19,1.07,4.22,3.4,2.08,1.7,0.51,1.04,2.15,4.82
CYP3A4,0.04,0.03,0.0,0.05,0.02,0.0,0.02,0.0,0.02,0.0,0.0,0.01,0.01,0.02,0.01,0.01,0.0,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.13,0.02,0.0
CYP3A43,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.04,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.05,0.1
CYP3A5,1.5,0.55,0.4,0.74,0.42,0.35,0.17,0.22,0.69,0.25,0.28,0.35,0.22,0.5,0.34,0.37,0.57,0.27,1.64,0.83,0.33,0.25,0.15,3.05,0.73,0.18,0.37,1.25,0.66,0.54
CYP3A7,0.21,0.33,0.05,0.01,0.13,0.04,0.04,0.0,0.14,0.02,0.11,0.28,0.1,0.21,0.03,0.0,0.01,0.19,0.63,0.02,0.08,0.05,0.15,0.09,0.37,0.04,0.05,0.06,0.47,0.18
CYP46A1,0.12,0.05,0.89,0.48,0.0,0.21,0.04,0.31,0.09,0.06,0.06,2.63,0.15,0.09,0.14,0.49,0.15,0.03,0.39,0.06,0.06,0.1,0.07,0.09,0.2,0.37,1.71,0.01,0.05,0.15
CYP4A11,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.0,0.02,0.0,0.02,0.02,0.0,0.01,0.01,0.02,0.03,0.0,0.12
CYP4A22,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.03,0.01,0.02,0.0,0.03,0.08,0.01,0.06,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.03,0.01,0.14
CYP4B1,0.17,0.62,0.0,0.0,0.01,0.0,0.06,0.13,0.01,0.0,0.0,0.04,0.0,0.06,1.64,2.88,51.46,18.81,5.47,5.09,0.05,0.49,0.59,0.27,0.36,4.64,32.19,1.59,0.06,60.65
CYP4F11,111.32,47.06,3.48,12.46,0.02,0.03,0.06,0.15,0.7,0.1,0.05,0.0,7.7,0.31,0.04,9.01,1.49,0.53,13.56,3.96,0.08,0.0,2.55,17.41,3.13,0.01,0.12,0.04,0.05,8.86
CYP4F12,5.39,7.14,0.02,0.08,0.64,0.01,0.0,0.14,0.04,0.21,0.06,0.01,2.16,0.01,13.71,0.14,0.09,0.11,34.86,21.63,0.01,0.02,0.98,6.7,0.31,1.38,0.01,0.0,0.47,8.6
CYP4F2,7.97,0.81,0.03,0.54,0.47,0.0,0.0,0.03,1.3,0.0,0.03,0.02,0.01,0.0,0.06,0.17,0.04,0.13,0.03,0.06,0.0,0.0,0.11,0.14,0.01,0.05,0.0,0.0,0.0,0.1
CYP4F22,0.03,0.02,0.03,0.01,0.01,0.0,0.0,0.01,0.07,0.0,0.01,0.0,0.11,0.0,0.0,2.7,0.77,0.01,0.2,0.01,0.0,0.14,0.28,0.01,0.01,0.02,1.01,0.02,0.58,0.01
CYP4F3,221.58,12.78,0.05,0.09,3.1,0.01,0.01,0.06,0.07,0.0,0.06,0.01,4.49,0.01,0.73,0.14,0.17,0.63,20.42,8.8,0.24,0.01,2.3,2.86,0.27,0.23,0.06,0.02,3.14,7.12
CYP4F31P,2.83,0.5,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.94,0.0,0.06,0.01,0.83,2.63,0.02,0.04,0.0,0.01,0.02,10.85,7.6,0.03,0.9,0.45,0.0,1.27
CYP4V2,1.71,0.51,10.35,2.55,3.33,2.24,2.96,2.0,3.79,1.81,2.03,3.74,0.18,0.66,1.96,1.69,0.05,0.05,7.12,4.96,0.01,2.37,1.67,4.74,0.79,9.07,3.72,12.24,3.34,0.15
CYP4X1,0.0,0.2,0.01,0.01,0.38,0.0,0.0,0.44,0.01,0.01,0.02,0.0,0.22,0.02,0.45,0.02,6.29,0.65,0.1,18.26,0.1,4.37,0.77,1.3,2.22,0.88,0.38,6.68,0.38,1.23
CYP4Z1,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.23,0.01,5.2,3.84,0.03,8.21,0.08,0.11,0.13,0.04,0.48,0.08,0.13,1.61,0.01,19.03
CYP51A1,65.52,117.62,92.95,40.83,43.8,72.63,31.81,48.84,59.57,46.26,34.03,16.87,64.42,5.75,33.68,58.28,56.94,98.52,19.22,115.69,50.13,29.43,36.33,11.31,118.89,27.11,50.56,76.0,99.14,54.91
CYP7A1,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.19,0.0,0.01
CYP7B1,0.24,0.01,1.51,0.06,0.0,0.0,0.0,0.0,1.76,0.0,0.05,0.0,0.06,3.19,0.19,0.0,0.0,0.09,3.9,6.48,0.58,0.15,16.49,1.62,9.1,0.0,0.01,2.37,16.72,0.1
CYP8B1,0.05,0.03,0.0,0.01,0.01,0.0,0.01,0.0,0.19,0.03,0.0,0.0,0.01,0.0,0.06,0.0,0.0,1.25,0.86,1.41,0.05,0.51,0.0,0.01,0.01,0.03,0.02,0.1,0.01,1.51
CYR61,1.36,55.26,281.29,103.36,0.78,1.35,0.36,345.38,1.69,0.16,1.11,0.59,201.22,17.65,16.63,2.94,25.13,28.57,87.14,46.16,44.25,26.88,242.71,7.05,684.75,20.45,154.37,16.86,67.43,122.98
CYS1,0.01,0.08,3.1,0.5,17.23,0.0,0.07,2.59,0.51,0.52,0.0,0.19,0.69,0.23,0.01,0.05,0.0,0.26,0.75,0.15,1.97,1.02,1.09,5.11,0.35,0.05,1.27,0.13,1.22,0.1
CYSLTR1,0.0,0.04,0.09,0.04,5.32,0.05,0.28,0.02,10.24,0.06,10.65,2.86,0.02,0.01,0.02,0.01,0.08,0.0,0.01,0.62,0.0,0.04,0.02,0.0,0.01,0.4,0.02,0.03,0.01,0.55
CYSLTR2,0.0,0.0,0.0,0.0,1.98,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.01
CYSTM1,68.75,51.59,42.0,42.43,143.96,55.68,26.97,9.29,2.78,37.99,7.69,9.34,22.9,35.41,25.49,50.26,22.02,7.82,121.12,63.86,31.4,88.51,49.24,27.07,48.95,23.28,5.34,12.79,13.04,45.0
CYTH1,14.97,32.63,18.32,17.8,265.78,52.96,45.39,12.16,12.59,39.33,9.44,47.59,52.62,24.87,15.02,16.09,42.4,18.58,23.1,27.29,24.91,24.44,92.16,15.93,78.17,18.95,23.61,35.91,31.52,42.82
CYTH2,64.55,28.07,61.46,49.26,28.91,52.21,20.97,43.75,50.1,15.22,156.92,32.59,40.49,29.57,44.0,68.58,77.38,54.75,45.12,59.78,26.67,31.9,66.96,29.35,86.72,48.83,79.77,64.71,36.44,75.0
CYTH3,6.06,28.52,38.81,12.87,14.12,2.26,1.67,34.8,1.68,0.58,11.5,10.62,15.81,7.84,3.86,5.64,4.36,55.59,48.5,17.67,23.96,2.81,24.48,42.99,14.7,2.58,3.31,29.12,6.45,26.47
CYTH4,0.24,3.35,0.1,0.81,29.09,0.35,2.84,0.92,5.37,16.8,2.63,0.15,0.22,0.0,0.14,0.15,0.25,0.05,0.32,0.09,0.0,0.06,1.08,0.12,0.05,0.0,0.03,0.01,0.03,0.02
CYTIP,0.68,0.23,0.35,0.09,59.41,3.26,19.2,0.04,0.12,26.08,0.36,33.81,0.16,0.01,0.05,0.08,0.4,0.15,0.0,0.6,0.06,0.03,0.1,0.07,0.03,0.33,0.07,0.33,0.03,0.08
CYTL1,0.13,0.0,7.33,0.02,0.14,0.0,0.06,0.0,201.9,0.03,463.65,0.04,0.09,0.0,0.0,0.0,0.06,0.05,0.0,0.06,0.02,0.0,0.0,0.01,0.26,0.0,0.04,0.23,0.0,0.11
CYYR1,0.0,3.25,0.01,0.01,0.0,0.0,0.0,0.01,0.03,0.0,0.01,0.0,2.55,0.0,0.0,0.0,0.01,0.0,0.01,0.36,4.18,0.02,0.01,1.49,4.21,0.0,0.09,5.12,0.18,0.19
CYorf17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D2HGDH,16.88,16.68,7.38,12.28,26.19,20.09,11.27,13.38,15.86,14.24,28.41,12.26,27.77,16.81,18.64,27.02,25.17,13.24,11.02,16.45,2.16,14.39,18.54,4.84,24.11,18.39,23.22,9.26,20.41,13.54
DAAM1,4.22,27.53,29.83,7.24,18.76,41.35,27.84,30.93,11.28,51.88,5.74,17.41,8.84,29.0,16.87,37.59,26.7,33.41,30.9,50.74,11.88,45.49,28.65,9.96,38.1,30.01,41.9,20.78,3.87,27.0
DAAM2,0.03,0.06,31.05,2.54,0.24,0.04,0.05,1.24,0.17,0.02,0.01,0.01,12.99,3.38,0.0,0.06,0.4,0.44,0.1,0.06,0.1,0.15,1.24,0.02,6.13,0.05,0.11,24.21,1.37,0.03
DAB1,0.12,0.03,1.67,0.01,0.04,0.0,0.06,0.08,0.48,0.01,0.01,0.01,0.05,0.0,0.02,0.0,0.05,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.72,0.0,0.0
DAB2,10.85,55.7,44.56,14.1,0.18,0.21,0.01,113.98,6.53,0.0,0.13,0.01,22.18,0.14,0.26,0.18,0.38,3.87,1.32,15.86,0.61,0.4,6.14,2.01,5.01,106.81,42.23,6.9,1.99,6.09
DAB2IP,1.23,27.93,14.29,7.46,0.26,0.06,0.03,8.79,0.63,0.02,0.99,1.92,5.86,25.47,14.6,3.05,14.17,24.26,24.93,36.45,9.1,38.93,11.72,2.81,30.94,11.47,13.22,41.99,10.73,23.23
DACH1,1.34,0.08,1.75,0.03,0.01,0.0,0.0,0.05,23.24,0.0,12.17,0.0,0.03,0.0,0.01,0.07,5.07,0.0,0.01,0.01,0.1,0.64,0.02,0.03,0.01,8.04,0.63,0.17,0.06,0.08
DACH2,18.5,0.03,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.06,16.32,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.01,0.63,0.09,0.02
DACT1,0.1,0.69,15.94,5.25,5.02,0.04,0.0,8.33,0.04,0.0,0.05,7.56,1.48,0.04,0.0,0.02,1.0,0.03,0.09,0.0,0.04,0.0,0.97,0.05,3.62,0.0,0.01,1.8,0.02,0.1
DACT2,0.29,1.89,0.03,0.0,0.01,0.01,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.01,0.08,0.0,0.01,0.0,0.0,0.02,0.03,0.0,0.02,0.0,0.03,0.02
DACT3,1.23,0.09,10.25,2.01,0.27,0.17,0.1,2.83,0.75,0.55,0.2,0.26,2.7,0.11,0.08,0.14,0.16,0.03,0.27,0.11,0.07,0.23,0.15,0.32,0.52,0.11,0.85,0.42,2.12,0.08
DAD1,245.66,156.69,356.36,268.8,204.93,184.02,220.96,364.36,138.25,264.55,165.53,100.42,333.04,126.82,225.14,333.35,248.96,355.86,282.18,301.28,124.82,184.74,259.86,102.66,154.28,255.14,185.59,115.4,144.88,457.64
DAG1,27.33,75.25,134.81,64.73,6.43,7.25,5.54,87.86,36.16,2.23,6.91,6.55,63.05,60.89,47.7,37.41,32.48,127.14,197.55,110.64,23.37,114.85,107.34,14.45,55.2,56.52,57.92,52.12,65.94,150.49
