,HCC1395,HCC2157,HCC2218,MCF7,HCC1500,HCC1937,HCC70,HCC1599,T47D,HCC1143,HCC38,HCC1419,HCC1428,HCC1187,HCC1569,HCC1954
FANCM,3.48,2.13,1.87,5.43,8.87,6.61,6.05,5.64,8.6,9.4,12.96,5.26,8.41,3.94,2.63,7.21
FANK1,2.99,1.07,4.33,3.64,8.45,1.63,9.19,0.49,0.92,2.39,10.01,4.93,3.26,2.63,1.23,3.74
FAP,0.77,0.58,0.0,0.04,0.0,0.38,0.4,0.0,0.0,5.39,1.79,0.02,0.06,0.22,0.15,6.63
FAR1,31.87,23.76,23.87,21.46,77.69,20.02,16.44,50.82,18.71,39.75,32.21,27.55,38.62,52.61,23.81,23.07
FAR2,1.17,6.3,2.09,0.54,3.23,0.6,28.49,0.31,0.56,8.35,4.14,1.41,12.99,1.89,4.69,1.95
FARP1,17.64,23.71,20.92,7.65,24.6,36.05,26.85,41.2,15.83,19.24,38.46,51.51,75.33,50.8,28.39,13.14
FARP2,24.12,11.44,8.01,13.56,25.66,4.53,16.73,2.75,6.02,18.65,22.59,12.51,22.97,19.51,21.79,14.03
FARS2,17.59,7.52,8.95,9.41,12.33,6.35,10.5,5.81,14.54,6.68,14.58,12.54,5.33,8.61,11.53,15.03
FARSA,126.19,92.35,78.16,104.6,70.2,147.14,79.65,112.11,69.79,65.72,61.92,98.89,68.14,118.15,89.23,81.29
FARSB,46.45,37.08,22.61,39.09,45.51,25.76,45.03,26.78,27.51,44.04,49.88,24.5,69.35,26.6,38.79,37.47
FAS,15.42,0.27,0.67,2.41,1.08,9.89,8.11,1.51,12.85,4.06,24.37,0.05,2.01,2.45,3.12,8.85
FASLG,0.01,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0
FASN,150.82,515.8,1052.7,386.31,275.62,163.8,167.96,184.83,394.77,195.1,167.31,2502.0,665.55,273.39,259.95,543.99
FASTK,167.99,78.01,68.65,51.7,91.19,50.82,85.25,60.97,52.99,34.56,40.27,51.64,84.11,35.92,101.96,68.85
FASTKD1,29.02,17.39,6.84,14.55,19.52,21.84,13.24,26.86,3.56,21.87,17.45,9.52,4.96,11.81,16.19,26.74
FASTKD2,17.96,14.57,15.6,20.03,16.76,17.18,16.58,18.87,11.27,16.15,20.13,15.29,17.32,14.7,20.66,20.98
FASTKD3,23.32,15.05,8.59,13.85,11.45,23.05,27.39,10.43,13.97,25.66,21.44,18.0,8.02,17.39,16.29,26.87
FASTKD5,12.14,18.49,14.07,8.27,7.12,18.98,8.85,4.3,11.76,18.34,26.74,12.18,3.56,22.71,25.0,34.58
FAT1,87.22,64.76,60.47,8.6,11.72,76.96,48.24,0.26,0.54,99.99,111.62,19.74,8.35,90.83,139.49,76.11
FAT2,0.13,17.85,0.06,0.08,0.24,0.46,1.68,16.62,0.34,0.34,0.17,0.02,0.12,35.14,0.16,2.77
FAT3,0.03,0.0,0.0,0.0,0.15,4.19,0.06,0.0,0.0,0.21,2.26,0.0,0.0,0.36,0.01,0.58
FAT4,4.76,0.03,0.03,0.12,0.12,0.05,0.29,0.05,0.05,0.64,4.31,0.0,0.02,0.47,0.3,0.19
FATE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.02,0.0,0.0,0.1
FAU,1906.9,653.71,931.55,819.92,830.0,1240.9,503.86,1464.9,681.47,381.72,792.23,376.01,1087.9,938.46,555.6,599.23
FAXC,10.36,5.6,1.07,0.69,9.24,3.87,3.4,7.25,12.08,4.6,12.31,7.85,5.26,9.7,6.57,13.68
FAXDC2,0.95,8.74,1.11,1.79,6.78,12.34,8.75,2.05,0.96,3.55,4.27,0.59,1.12,2.37,0.68,0.97
FBF1,15.92,18.56,4.24,4.31,23.11,15.72,11.28,4.89,30.94,40.9,10.18,11.6,21.09,3.27,19.32,9.02
FBL,285.63,327.13,234.34,306.54,181.22,312.36,190.27,1728.9,131.43,340.4,318.23,158.88,215.85,297.06,224.97,340.71
FBLIM1,35.01,39.35,2.03,2.68,1.78,45.87,80.05,20.69,4.3,63.12,152.92,1.15,1.24,70.01,29.5,6.42
FBLL1,0.55,0.09,0.31,0.06,5.53,0.03,0.02,2.01,0.06,0.11,0.58,0.68,0.55,0.1,0.14,0.07
FBLN1,44.89,2.76,0.24,0.25,21.85,81.13,93.44,8.14,0.84,198.3,44.01,0.6,10.2,430.81,138.21,84.86
FBLN2,2.65,0.24,2.01,0.1,0.04,43.19,9.79,0.03,0.05,146.52,1.36,0.66,2.41,2.88,11.74,4.12
FBLN5,3.16,0.21,0.45,0.01,0.55,0.76,0.73,1.08,1.83,0.09,2.32,0.5,0.41,78.23,2.34,1.41
FBLN7,3.04,0.19,0.01,0.19,6.2,0.0,0.04,0.16,0.89,0.16,0.74,0.08,0.29,35.03,0.51,0.08
FBN1,64.63,1.0,0.22,0.39,0.22,3.61,2.12,1.99,0.04,2.99,5.22,0.15,0.13,5.44,0.56,0.6
FBN2,9.75,0.37,0.01,0.03,0.19,0.05,0.03,0.1,0.01,16.64,0.93,0.01,0.13,3.38,8.78,0.26
FBN3,0.35,1.4,0.01,0.02,1.27,0.81,1.23,3.47,0.07,3.83,20.34,0.09,2.0,0.0,0.83,0.04
FBP1,0.09,0.04,1.09,135.65,105.21,148.5,50.69,0.04,33.26,0.06,7.54,24.74,66.56,0.96,0.05,0.65
FBP2,0.26,0.0,0.01,0.08,0.33,0.21,0.0,0.11,0.04,0.09,0.53,0.05,0.12,0.04,0.2,0.13
FBRS,58.84,20.03,26.83,36.53,41.03,52.49,45.46,25.45,84.09,46.39,50.37,44.17,43.5,30.48,32.37,24.44
FBRSL1,30.05,47.8,48.04,58.25,46.05,29.35,26.59,84.28,54.89,45.05,41.07,37.89,79.18,75.76,80.7,61.72
FBXL12,19.66,10.68,11.26,10.27,26.27,24.73,23.02,21.03,15.42,28.3,26.51,17.62,11.77,37.91,23.13,16.48
FBXL13,0.62,0.2,0.15,0.18,0.53,6.85,0.34,0.24,0.08,0.3,48.52,0.19,0.44,0.31,0.7,0.2
FBXL14,4.34,3.65,8.25,5.48,10.54,13.16,17.08,19.46,7.64,6.5,9.23,11.15,20.27,16.59,6.68,9.35
FBXL15,4.51,8.42,14.17,19.04,6.22,5.19,10.12,3.68,18.18,3.23,5.11,6.74,12.47,6.38,4.88,4.21
FBXL16,7.79,6.3,26.31,9.44,17.14,8.43,5.04,12.75,2.71,8.09,2.19,0.55,18.27,0.27,1.39,9.95
FBXL17,2.68,3.97,9.32,11.73,13.45,5.05,9.06,2.32,7.94,11.13,8.57,8.71,7.98,7.32,4.32,7.73
FBXL18,6.61,3.91,5.9,7.49,3.37,11.09,12.57,3.73,15.4,10.6,5.63,8.35,6.76,9.98,6.53,7.31
FBXL19,17.21,14.84,12.91,13.33,13.22,26.15,23.57,11.02,13.99,29.33,22.99,15.08,9.61,30.69,17.79,13.54
FBXL2,6.01,10.15,1.18,1.68,10.07,3.53,0.55,4.57,6.77,6.02,12.55,4.12,2.67,1.9,5.24,5.31
FBXL20,4.73,4.09,1.21,2.61,3.83,9.56,1.37,8.42,7.28,3.14,14.69,2.93,3.36,0.21,3.64,5.77
FBXL22,0.58,0.28,0.55,1.47,0.81,0.62,1.31,0.4,0.71,0.15,0.31,0.75,0.92,0.38,0.2,0.22
FBXL3,13.9,4.96,9.84,8.15,14.65,29.04,22.66,13.36,12.93,11.53,11.4,22.43,14.0,7.1,18.17,18.91
FBXL4,4.56,7.13,2.6,3.54,3.11,4.01,4.48,4.22,2.91,5.65,3.28,3.97,3.43,5.37,4.2,7.5
FBXL5,26.37,16.89,6.82,16.16,37.78,30.11,37.19,29.58,17.03,35.13,36.77,44.9,17.81,42.87,12.68,35.7
FBXL6,43.45,110.55,65.14,34.33,54.78,78.4,20.58,81.3,32.57,109.97,12.2,50.19,7.49,41.92,47.03,26.32
FBXL7,0.05,0.01,0.09,0.0,3.26,0.0,0.02,0.18,0.01,0.01,0.03,0.01,0.02,4.74,0.03,0.04
FBXL8,25.05,5.55,9.3,14.47,31.25,22.07,19.58,13.07,37.5,9.63,4.51,10.21,18.28,6.53,3.44,11.2
FBXO10,2.07,10.93,0.84,3.21,3.32,4.0,4.81,5.31,1.92,4.89,2.34,1.27,3.71,7.25,4.21,2.43
FBXO11,31.88,12.71,10.59,24.48,23.85,26.62,29.17,41.75,12.09,29.01,50.91,22.68,33.55,31.84,25.33,28.86
FBXO15,0.0,0.46,0.18,0.3,0.37,0.2,0.25,0.05,0.64,2.26,0.27,1.0,0.64,0.0,0.35,0.2
FBXO16,4.5,3.01,4.33,4.11,5.75,4.35,1.16,1.61,10.14,5.03,2.37,12.29,1.78,1.27,0.47,3.1
FBXO17,25.51,3.87,0.0,1.38,0.13,26.35,0.03,28.59,13.17,26.89,50.01,1.81,2.28,0.23,12.15,0.3
FBXO18,27.84,51.39,25.05,42.13,59.07,28.07,86.69,44.76,37.79,89.77,72.97,22.5,76.82,71.81,58.46,34.75
FBXO2,182.24,9.97,0.46,2.5,11.43,56.65,72.29,2.08,14.55,12.24,15.91,3.3,4.93,1.11,77.08,0.53
FBXO21,12.68,10.87,13.95,24.15,30.62,14.71,11.36,18.46,21.19,12.37,24.33,20.65,20.66,20.71,14.22,19.7
FBXO22,35.41,34.12,35.57,60.28,33.09,32.67,26.81,46.65,41.26,35.11,31.68,21.19,18.56,18.21,52.67,30.59
FBXO24,1.25,0.75,0.27,0.65,0.75,0.65,0.73,0.38,0.87,0.59,1.38,0.54,0.65,0.8,0.9,0.49
FBXO25,4.25,6.57,4.69,6.27,54.59,8.37,2.14,9.24,6.19,5.08,12.63,23.91,8.86,12.1,5.2,8.26
FBXO27,2.03,2.66,5.86,7.83,0.05,23.67,0.79,35.85,12.14,28.2,33.03,25.81,0.01,3.58,3.13,4.51
FBXO28,15.25,25.35,26.01,11.95,24.18,19.51,25.19,23.14,13.58,21.25,25.59,18.41,16.51,26.35,29.42,25.63
FBXO3,16.73,8.65,12.65,14.99,45.21,20.51,13.74,17.47,29.24,17.19,20.12,21.0,68.37,27.5,12.44,32.52
FBXO30,8.39,2.54,1.99,1.93,4.82,3.19,3.19,5.57,1.42,4.92,7.26,2.66,2.13,5.75,2.64,5.71
FBXO31,16.21,8.42,4.43,14.21,15.67,17.19,13.07,16.15,10.44,24.79,16.87,6.54,6.11,15.75,12.26,14.96
FBXO32,157.27,57.06,3.67,0.87,0.49,33.72,8.07,8.7,18.29,29.1,181.64,27.61,3.52,18.25,41.19,28.7
FBXO33,5.47,2.15,2.28,7.49,15.85,5.04,5.0,3.43,5.51,7.66,10.35,2.9,8.8,6.14,3.86,5.97
FBXO34,12.39,9.7,6.61,12.03,9.7,20.82,35.39,20.0,16.31,25.54,37.74,12.21,15.39,18.34,10.84,31.86
FBXO36,2.29,0.36,0.82,2.4,11.71,0.58,0.55,0.32,2.2,0.99,1.57,3.41,3.29,1.59,1.43,1.59
FBXO38,17.37,0.11,14.41,9.95,27.84,22.72,13.72,13.46,16.39,23.7,16.56,11.33,13.34,12.58,13.98,21.17
FBXO39,0.0,0.0,0.0,0.0,0.02,0.04,0.26,0.0,0.0,0.77,0.06,0.0,0.04,0.7,0.09,0.14
FBXO4,1.08,7.56,11.83,8.58,21.46,19.42,21.7,4.88,12.28,6.59,4.64,9.04,7.81,4.19,4.75,5.77
FBXO40,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
