,SW48,SW620,SW1463,SW1116,RKO,MDST8,SW1417,T84,SW837,HT55,SW948,KM12
CREG2,0.93,0.76,0.0,4.44,0.0,12.64,2.24,3.76,4.86,1.34,1.0,0.82
CRELD1,28.08,10.67,10.01,4.72,11.88,9.11,23.71,10.25,9.09,17.39,20.68,23.24
CRELD2,37.59,31.2,16.31,7.13,14.77,79.68,30.96,29.89,13.07,14.85,14.95,21.49
CREM,35.9,18.13,16.87,3.23,82.39,22.88,20.83,15.45,28.99,9.53,9.3,18.39
CRH,0.03,0.0,0.03,0.02,0.0,0.0,0.14,0.01,0.0,0.04,0.0,0.09
CRHBP,0.0,0.01,1.08,0.0,0.0,0.06,0.0,0.02,0.05,0.07,0.0,0.0
CRHR1,0.08,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.01,0.0,0.04
CRHR2,0.35,0.06,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.01
CRIM1,11.81,0.28,11.71,11.13,9.29,51.53,17.98,20.65,44.76,10.62,23.55,6.74
CRIP1,0.815,7.385,31.09,8.355,0.11,0.2,19.45,7.8149999999999995,155.13,32.9,23.21,12.745000000000001
CRIP2,25.7,2.8,0.75,1.35,2.34,22.62,3.62,0.24,41.0,0.61,0.63,0.99
CRIP3,0.0,0.1,0.27,0.32,0.0,0.0,0.0,0.26,2.2,0.07,0.53,0.23
CRIPAK,7.95,2.59,2.55,4.16,3.01,1.91,2.44,2.43,5.06,1.85,2.14,6.73
CRIPT,4.49,8.49,11.39,7.11,10.83,8.32,17.01,6.07,17.63,13.23,13.5,10.59
CRISP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRISP3,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.0,0.0,0.0
CRISPLD1,0.0,0.35,0.02,0.18,0.01,1.17,0.02,0.0,1.31,0.05,0.01,0.02
CRISPLD2,15.62,0.53,2.73,0.28,0.02,0.43,1.22,2.19,3.51,0.73,1.32,0.23
CRK,39.19,31.26,23.97,15.66,24.95,35.1,30.17,19.9,21.59,48.55,29.94,25.27
CRKL,38.04,22.85,12.69,13.22,17.75,24.35,32.53,33.65,87.51,13.26,21.02,25.92
CRLF1,4.29,4.64,7.29,3.11,14.21,2.36,4.22,7.03,5.69,1.34,2.22,5.86
CRLF2,0.0,0.0,0.0,0.025,0.0,0.02,0.025,0.015,0.26,0.0,0.0,0.0
CRLF3,22.11,10.98,7.3,5.27,10.73,7.04,5.61,6.61,16.56,8.05,10.49,9.42
CRLS1,57.56,48.7,77.9,16.66,73.92,28.53,19.77,57.67,25.39,24.76,53.24,64.33
CRMP1,0.2,12.27,0.21,0.11,4.11,64.83,0.15,0.01,4.16,0.01,0.01,0.02
CRNKL1,12.77,21.67,20.69,10.65,11.03,9.79,32.23,17.39,10.02,15.84,18.35,5.27
CRNN,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
CROCC,19.35,15.2,7.81,3.8,11.26,6.56,11.58,6.46,17.67,7.67,5.08,10.91
CROT,21.88,4.77,4.13,2.36,5.85,14.13,7.12,6.72,11.06,6.0,6.5,0.06
CRP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRTAC1,0.03,0.17,0.19,0.03,0.0,0.02,0.25,0.01,0.02,0.09,0.05,0.0
CRTAM,0.0,0.01,0.0,0.0,0.0,0.06,0.07,0.01,0.0,0.0,0.0,0.0
CRTAP,126.36,20.6,31.83,31.98,32.47,288.54,66.5,109.33,30.01,44.75,90.34,25.44
CRTC1,9.36,7.14,2.77,2.18,3.04,3.77,6.0,3.89,2.42,5.67,4.04,3.56
CRTC2,34.66,15.36,17.3,15.36,28.71,23.38,24.98,29.21,20.37,19.68,20.56,19.71
CRTC3,18.59,5.94,3.11,6.16,8.84,12.8,9.14,19.3,13.56,8.9,9.8,4.32
CRX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
CRY1,9.51,8.71,12.89,8.41,13.52,7.14,11.29,12.96,21.0,6.01,4.68,14.86
CRY2,8.82,6.02,6.44,4.86,8.55,7.4,7.76,8.62,5.61,6.02,8.31,9.75
CRYAA,0.06,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.04,0.0
